occurrence_guid,dataset_guid,who,what,when,where,url
c3a3ad28-7620-475b-8876-d21b7ebfa9d7,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/c3a3ad28-7620-475b-8876-d21b7ebfa9d7,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/c3a3ad28-7620-475b-8876-d21b7ebfa9d7
d993c6f6-8db9-4ea9-a574-8116b7f09aed,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/d993c6f6-8db9-4ea9-a574-8116b7f09aed,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/d993c6f6-8db9-4ea9-a574-8116b7f09aed
01c9d2b5-87ce-4df5-b786-75fa40c51524,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/01c9d2b5-87ce-4df5-b786-75fa40c51524,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/01c9d2b5-87ce-4df5-b786-75fa40c51524
62009230-687f-4df5-8e3d-590ce7d0703e,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-3-18,http://spcoco.org/ark:/62009230-687f-4df5-8e3d-590ce7d0703e,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/62009230-687f-4df5-8e3d-590ce7d0703e
6ae4494e-a942-4672-93c2-afb3ecb669b9,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1989-4-7,http://spcoco.org/ark:/6ae4494e-a942-4672-93c2-afb3ecb669b9,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/6ae4494e-a942-4672-93c2-afb3ecb669b9
518980a1-a46e-41ad-bd7e-ac9f27f273b9,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/518980a1-a46e-41ad-bd7e-ac9f27f273b9,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/518980a1-a46e-41ad-bd7e-ac9f27f273b9
69274cdb-7a8d-4fc1-b721-72af12de9c7f,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/69274cdb-7a8d-4fc1-b721-72af12de9c7f,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/69274cdb-7a8d-4fc1-b721-72af12de9c7f
0d547167-cf43-4f6d-8d19-1acb968d5f30,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/0d547167-cf43-4f6d-8d19-1acb968d5f30,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/0d547167-cf43-4f6d-8d19-1acb968d5f30
98fb49e0-591b-469e-99af-117b0bfdd7ee,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/98fb49e0-591b-469e-99af-117b0bfdd7ee,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/98fb49e0-591b-469e-99af-117b0bfdd7ee
ded7b6d2-0971-4eca-ac45-2f70f9dd1917,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/ded7b6d2-0971-4eca-ac45-2f70f9dd1917,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/ded7b6d2-0971-4eca-ac45-2f70f9dd1917
c01c3c43-9eab-4b03-ba28-afd90458ca54,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/c01c3c43-9eab-4b03-ba28-afd90458ca54,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/c01c3c43-9eab-4b03-ba28-afd90458ca54
ca42f69f-096a-4e3c-8cfc-016514c52f7e,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/ca42f69f-096a-4e3c-8cfc-016514c52f7e,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/ca42f69f-096a-4e3c-8cfc-016514c52f7e
dc6ecf67-edd0-4ff3-a0ad-0f9b7756891c,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/dc6ecf67-edd0-4ff3-a0ad-0f9b7756891c,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/dc6ecf67-edd0-4ff3-a0ad-0f9b7756891c
47cc264d-f658-435c-973a-79f20fd2910e,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-4-1,http://spcoco.org/ark:/47cc264d-f658-435c-973a-79f20fd2910e,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/47cc264d-f658-435c-973a-79f20fd2910e
b0697be3-b395-4e13-92fc-250a119eef01,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,,http://spcoco.org/ark:/b0697be3-b395-4e13-92fc-250a119eef01,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/b0697be3-b395-4e13-92fc-250a119eef01
435e0043-e77c-4006-88d9-9a096529e20c,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,,http://spcoco.org/ark:/435e0043-e77c-4006-88d9-9a096529e20c,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/435e0043-e77c-4006-88d9-9a096529e20c
c2a03f0d-4efe-4994-8139-a10b10f138c1,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,,http://spcoco.org/ark:/c2a03f0d-4efe-4994-8139-a10b10f138c1,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/c2a03f0d-4efe-4994-8139-a10b10f138c1
10e704df-6db1-40dc-8a96-6fbb7a8ddd36,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1987-10-7,http://spcoco.org/ark:/10e704df-6db1-40dc-8a96-6fbb7a8ddd36,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/10e704df-6db1-40dc-8a96-6fbb7a8ddd36
c782dc60-5717-4994-bd94-375e9d277240,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-8-16,http://spcoco.org/ark:/c782dc60-5717-4994-bd94-375e9d277240,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/c782dc60-5717-4994-bd94-375e9d277240
